日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2026-07-08,22.95,-1.03,-43787860.0,-7.9,-14036505.0,-2.53,-29751355.0,-5.37,11478190.0,2.07,32309671.0,5.83
2026-07-09,22.95,0.0,-42175108.0,-6.92,-42617487.0,-7.0,442379.0,0.07,19322291.0,3.17,22852818.0,3.75
2026-07-10,23.45,2.18,51055084.0,5.81,23574460.0,2.68,27480624.0,3.13,-17715808.0,-2.02,-33339280.0,-3.8
2026-07-13,23.79,1.45,44917951.0,5.08,48422711.0,5.47,-3504760.0,-0.4,-32464688.0,-3.67,-12453252.0,-1.41
2026-07-14,24.05,1.09,4682644.0,0.49,943305.0,0.1,3739339.0,0.39,7945856.0,0.84,-12628506.0,-1.33
2026-07-15,24.84,3.28,87761679.0,5.96,62516127.0,4.25,25245552.0,1.72,-35555568.0,-2.42,-52206112.0,-3.55
2026-07-16,24.71,-0.52,-13196321.0,-1.08,-13824785.0,-1.13,628464.0,0.05,-30490512.0,-2.49,43686848.0,3.57
2026-07-17,23.4,-5.3,-194092233.0,-16.98,-105823267.0,-9.26,-88268966.0,-7.72,42099968.0,3.68,151992267.0,13.3
2026-07-20,24.0,2.56,-62645669.0,-7.36,-23300532.0,-2.74,-39345137.0,-4.62,3589190.0,0.42,59056487.0,6.94
2026-07-21,23.69,-1.29,-43990901.0,-5.78,-26935606.0,-3.54,-17055295.0,-2.24,9360266.0,1.23,34630636.0,4.55
2026-07-22,23.97,1.18,8100508.0,1.15,8734035.0,1.24,-633527.0,-0.09,-14013214.0,-1.99,5912706.0,0.84
2026-07-23,23.71,-1.08,-17145072.0,-3.5,-3901386.0,-0.8,-13243686.0,-2.7,-3188123.0,-0.65,20333195.0,4.15
